ref,text
032,"Отож доробився: ані чобіт, ні халяв!"
032,"Рвали б вас ворони, як ви мою працю рвете!"
032,"Обіцяв хазяїн дати, тільки велів заждати."
032,"Роби, роби, та й нічого не доробишся."
032,"На цій роботі не забагатієш, а згорбатієш."
032,За такої страви ляжеш вздовж лави!
032,"Добре нас годують: черпак юшки, дві галушки та й ті розплилися!"
033,Наймитові з хазяїном не брататися.
033,Заробив у пана плату: з чотирьох дощок хату.
033,"Робила цілий вік панам, та, мабуть, ляжу, як кістка, гола."
033,"Доробився хліба, аж зійшов на діда."
033,Заробітки бодай не ліждали наші дітки!
033,"Та допіру робота: ціле життя роби, а на старість милостиньку проси!"
033,"Забудь ласощі паслін і цибулю, а за свою гірку працю візьми під ніс дулю!"
033,"За що найнявся? Сорок грошей; справний харч і босий дохід, дають рано води, а ввечері пити."
033,"Заробив три вирви в шию, а четверту навздогінці!"
033,Заробив води до хліба!
033,Заробив на сіль до оселедця!
034,"Колісник по шию в трісках, по коліна в боргах."
034,"Від сокири не збагатієш, а згорбатієш!"
034,"Якби шевцеві не правило, то б його скривило."
034,"Не буде з швачки багачки, а з ткача багача!"
034,На всі руки майстер!
034,Хороший плотник і до коліна кіл заструже.
034,У ремісника золота рука.
034,"Що б то був за швець, коли б усім на один копил чоботи шив!"
034,"Ремесло не коромисло плеч не відтягне, саме прогодує."
034,"Ремесло на плечах не носить, а трапиться, що й пригодиться."
034,"Ремесло на плечах не висить і хліба не просить, а хліб дає."
035,"Гіркий, як шахтарська доля!"
035,"Санки, кайло і лопата - ось вся техніка проклята."
035,Санки з вугіллям потягаєш шахту-катор гу узнаєш.
035,Вугілля добувати живим не бувати.
035,В шахту спускаєшся з світом прощаєшся.
035,"Хто на шахті не бував, той і горя не знав."
035,Вугільний пласт щастя не дасть.
035,"Робітники потіють, а пани з того жиріють."
035,"Золото миєм, а самі голодні виєм."
035,"Пани все бачать не бачать, як робітники горюють та плачуть."
035,"На те він і кравець, щоб подертий жупан носити!"
035,"Не той пиво п'є, хто варить!"
036,"Цар - як кабан, а царица як печериця."
036,"Цар правду у листах пише, а на ділі чортом дише."
036,"Цар і трут на дурняк живуть: інші працюють, а вони мед їдять."
036,"Царі - псарі: жалю не знають, людей за псів вважають."
036,"Цар далеко бачить, а мало думає."
036,"Бідняки потіють, а пани з того жиріють."
036,"Бідний піт ллє, а багатий його кров п'є."
037,Панщина як гадюка: життя наше отруїла.
037,"Багатого й серп голить, а убогого й бритва не хоче."
037,"Бідний до бідних рідний, а багатий нікому не радий."
037,"Багач норовить, як би бідного з ніг збить."
037,"Багач все нарікає, що мало має."
037,"Багач чуже загрібає, бо своєму ліку не знає."
037,"Багач - як собака: на свому лежить, а хвіст перекинув на чуже."
037,"Всяк знає, як багач дбає: не своїм горбом, а чужим трудом."
037,"Якби той грайцар потиснув, то з нього кров потекла б."
037,"Цар у державі, як кіт у коморі: кого піймав, того й з'їв."
037,За царя нема й сухаря.
038,"Якби не хлоп та не віл, то би пан не жив."
038,Ото налигають та й робити мужика заставляють.
038,Селянськими мозолями пани живуть.
038,"Бідняк робить, а багачеві родить."
038,Сама земля панові не родить мужик робить.
038,Білі ручки чужу роботу люблять.
038,"От тобі, бабо, й Юр'їв день."
038,"Хустки поперем, як три дні панщини відбудем."
038,"На панщині конопельки тіпаєм, а прийдем додому голі плечі латаєм."
038,"Іде мужик на панщину сонечко не сходить, повертається додому, як місяць заходить."
039,"Багач їсть калач, а бідний і хліба не має."
039,"Хліб у пана мужик косить, жінка його снопи носить, а прийдуть вони додому дітки їсти просять."
039,"Гарно було бути панським: ходячи їсти, сидячи спати, бодай не казати!"
039,"Панам косять, а собі хліба просять."
039,При панській власті нема чого у рот покласти.
039,"Багатство дме, а бідність удвоє гне."
039,"Щоб панам так легко вмирати, як мужикові орати!"
039,Бідний з праці рветься багатому черево дметься.
039,"У багатого живіт росте, а у бідного - горб від роботи."
039,"Пану і в будень свято, а в мужика і будень однято."
039,"Пан не жне, не косить, а жупан носить."
039,"Мужик землю засіває, а пан хліб поїдає."
040,"Багачеві прибиль, а біднякові загибель."
040,"Багатому дбає, а в себе й сорочки не має."
040,"Багатому пшениця, а вбогому полова."
040,"Пшениця то хлопська мука, мельницька біда, а панська їжда."
040,Багатий бідного ніколи не розуміє.
040,Ситий голодного не розуміє.
040,Ситий голодному не товариш.
040,"Поки багатий стухне, то убогий опухне."
040,"Одному аж горлом вертає, а другий з голоду здихає."
040,"Багач шукає апетиту, а бідний хліба."
040,"Багач так має, аж йому горлом пхає, а бідняк лиш слинку ковтає."
040,Багач би око вийняв за кавалок хліба.
040,"Бідний мужик і хліба не їсть, а багатий мужика з'їсть."
041,"А з чого збив маєтки, як не з чужої кривди?"
041,Через золото сльози льються.
041,Панські шати наші лати.
041,"Як бідний плаче, то ніхто не бачить, а як багатий скривиться, то всяк дивиться."
041,"Пан все баче, не баче, як бідняк плаче."
041,"Пан скаче, а хлоп плаче."
041,"Багатому чорт діти колише, а вбогий і няньки не найде."
041,"У багатого й теля з телям, а в убогого одна корова, та й та ялівка."
041,"Багачеві вітер гроші несе, а бідному половою очі засипає."
041,"Багатому й під гору вода тече, а бідному і в долині треба криницю копати."
041,"Качиного зоба не накормишці, а панської кишені не наповниш."
041,"Гроші йдуть до багатого, а злидні до бідного."
042,"Тоді пани добрі, як сплять."
042,Царський маніфест спиною читають.
042,"Пан би землею удавився, аби лише хлоп її не мав."
042,"Хто багатий, той не любить дати."
042,"Панського роду, а псячого ходу."
042,Не нашого поля ягода.
042,Панська свора вовча потвора.
042,"Про вовка помовка, а чорт пана несе."
042,"Більше панів, ніж курей."
042,"Нема добра в нашім селі, бо панів багато."
042,"Багатому щастя, а вбогому трясця."
042,З насилу пани розживаються.
042,Велика риба маленьку цілою ковтає.
042,"Де один панує, там сотня бідує."
043,"Тіло в злоті, а душа в мерзоті."
043,"Як багатий, так і клятий."
043,"Тому багатий, бо свинуватий."
043,"Якби не був свинуватий, то не був би і багатий."
043,"Легше з ведмедем борюкатися, ніж з паном рахуватися."
043,Панам лихо розкидати не плугом орати.
043,"До вбогого йди сорочки позичати, а до багатого ніколи!"
043,"З хлопами мирно живемо, лани хлопами оремо."
043,Добрий був пан бог його взяв та чорту подарував.
043,"Пан добрий, як отець: взяв корову і овець, а пані як мати: наказала теля взяти."
043,Добрий пан: взяв у дітей хліб та й кинув псам.
043,Добра пані за рабами.
044,У сильного завжди безсильний винен.
044,"Багатому й гріхи прощають, а вбогого і так карають."
044,Панська ласка на бистрім коні їздить.
044,У пана ласка до порога.
044,Панська ласка що вовча дружба.
044,"Круки на стерво летять, а пани на людську біду."
044,Бодай ніхто не діждав з багатими знаться!
044,Лиха зазнали від панів та й від підпанків.
044,"Панська рука далеко сягає, навіть там, де її не видно."
044,"Лучче ціпом бухать, як панів слухать."
044,"Не вір багатому ніколи, бо за його порадою лишишся голий."
044,Пани мужикові чужі люди.
044,"Де є такий багач, щоб не хотів більше, як має?"
045,"Піди до Кракова всюди біда однакова, піди й за Карпати то треба бідувати."
045,Дались мені у знаки оті панські кулаки.
045,"Що вільно панові, то не вільно Іванові."
045,"Годи панові рік, а день не вгодиш пропав навік."
045,"Тільки й ходу, що з мосту та в воду."
045,"Багатому життя, а бідному виття."
045,"Чий кінь, того й віз."
045,"Чия гребля, того й став."
045,"Чий берег, того й риба."
045,"На чиєму току молотять, тому й хліб возять."
045,"В панські ворота широко увійти, а вузько вийти."
045,"Широкі панські степи, а людям на них тісно."
045,"Не порівняєш гір з долиною, а багатого з убогим."
046,"Багач гроші збирає, а чорт калитку шиє."
046,"За руб свічку бере, а з бідного останню шкуру дере."
046,"Зарився в добрі, як свиня в багні."
046,У селі пан як у городі бур'ян.
046,"Коли б пан за плуга взявся, то й світу б відцурався."
046,"Чують, як пісні співаємо, а не чують, як вовками виємо."
046,"Попався, жучку, панові в ручку."
046,За наше жито та ще нас і бито.
046,"Пан з паном погодиться, а Іван в спину дістане."
046,"Пани б'ються, а в мужиків чуби тріщать."
046,"Ворон ворона не клює, пан у пана шкуру не здере."
046,Від Львова до Кракова скрізь біда однакова.
046,"Пани однакові, що в нас, що в Кракові."
047,"Я тобі, паничу, штани підтичу!"
047,Пана в ребро а людям добро.
047,"Раз питався пан Івана, чи він любить свого пана. А Іван відповідає: «Люблю, пане, навіть дуже; щоб вас усі так любили, то ви б давно в землі гнили»."
047,"Хвали сіно в стогу, а пана в гробу."
047,Чого пан гладок? Поїв та й набок.
047,Панських груш не руш: як погниють самі віддадуть.
047,"Дав пан Омелькові пояс, як той без штанів оставсь."
047,"Казав пан: «Кожух дам», та слово його тепле."
047,Скільки панові не годи рябу корову не подарує.
047,"Дай панові покуштувати, то він і гамкне."
047,Від багача не жди калача.
047,За багачем сам чорт з калачем:
048,"Заправив, як за рідного батька."
048,Без бариша голодна душа.
048,"Крамар як комар: де сяде, там і п'є."
048,"Три пани, два отамани, а один підданий."
048,Казенна палата від селян багата.
048,Аж гарчить так на меншого кричить.
048,Панська собака по-панськи гавкає.
048,"Доти чоловік добрий, доки його десятником не наставлять."
048,"Один дідько, що осадник, що наш війтко."
